n = 17, m = 9, phi[n] = 16, phi[m] = 6 9
n = 17, m = 10, phi[n] = 16, phi[m] = 4 10
n = 17, m = 11, phi[n] = 16, phi[m] = 10 10
n = 17, m = 12, phi[n] = 16, phi[m] = 4 10
n = 17, m = 13, phi[n] = 16, phi[m] = 12 10
n = 17, m = 14, phi[n] = 16, phi[m] = 6 10
n = 17, m = 15, phi[n] = 16, phi[m] = 8 10
n = 17, m = 16, phi[n] = 16, phi[m] = 8 10
n = 17, m = 17, phi[n] = 16, phi[m] = 16 10
n = 18, m = 0, phi[n] = 6, phi[m] = 0 0
n = 18, m = 1, phi[n] = 6, phi[m] = 1 2
n = 18, m = 2, phi[n] = 6, phi[m] = 1 4
n = 18, m = 3, phi[n] = 6, phi[m] = 2 4
n = 18, m = 4, phi[n] = 6, phi[m] = 2 7
n = 18, m = 5, phi[n] = 6, phi[m] = 4 7
n = 18, m = 6, phi[n] = 6, phi[m] = 2 7
n = 18, m = 7, phi[n] = 6, phi[m] = 6 7
n = 18, m = 8, phi[n] = 6, phi[m] = 4 7
n = 18, m = 9, phi[n] = 6, phi[m] = 6 7
n = 18, m = 10, phi[n] = 6, phi[m] = 4 6
n = 18, m = 11, phi[n] = 6, phi[m] = 10 6
n = 18, m = 12, phi[n] = 6, phi[m] = 4 7
n = 18, m = 13, phi[n] = 6, phi[m] = 12 7
n = 18, m = 14, phi[n] = 6, phi[m] = 6 7
n = 18, m = 15, phi[n] = 6, phi[m] = 8 7
n = 18, m = 16, phi[n] = 6, phi[m] = 8 6
n = 18, m = 17, phi[n] = 6, phi[m] = 16 6
n = 18, m = 18, phi[n] = 6, phi[m] = 6 6
n = 19, m = 0, phi[n] = 18, phi[m] = 0 0
n = 19, m = 1, phi[n] = 18, phi[m] = 1 2
n = 19, m = 2, phi[n] = 18, phi[m] = 1 4
n = 19, m = 3, phi[n] = 18, phi[m] = 2 4
n = 19, m = 4, phi[n] = 18, phi[m] = 2 7
n = 19, m = 5, phi[n] = 18, phi[m] = 4 7
n = 19, m = 6, phi[n] = 18, phi[m] = 2 7
n = 19, m = 7, phi[n] = 18, phi[m] = 6 7
n = 19, m = 8, phi[n] = 18, phi[m] = 4 7
n = 19, m = 9, phi[n] = 18, phi[m] = 6 7
n = 19, m = 10, phi[n] = 18, phi[m] = 4 6
n = 19, m = 11, phi[n] = 18, phi[m] = 10 6
n = 19, m = 12, phi[n] = 18, phi[m] = 4 7
n = 19, m = 13, phi[n] = 18, phi[m] = 12 7
n = 19, m = 14, phi[n] = 18, phi[m] = 6 7
n = 19, m = 15, phi[n] = 18, phi[m] = 8 7
n = 19, m = 16, phi[n] = 18, phi[m] = 8 6
n = 19, m = 17, phi[n] = 18, phi[m] = 16 6
n = 19, m = 18, phi[n] = 18, phi[m] = 6 7
n = 19, m = 19, phi[n] = 18, phi[m] = 18 7
n = 20, m = 0, phi[n] = 8, phi[m] = 0 0
n = 20, m = 1, phi[n] = 8, phi[m] = 1 2
n = 20, m = 2, phi[n] = 8, phi[m] = 1 4
n = 20, m = 3, phi[n] = 8, phi[m] = 2 4
n = 20, m = 4, phi[n] = 8, phi[m] = 2 7
n = 20, m = 5, phi[n] = 8, phi[m] = 4 7
n = 20, m = 6, phi[n] = 8, phi[m] = 2 7
n = 20, m = 7, phi[n] = 8, phi[m] = 6 7
n = 20, m = 8, phi[n] = 8, phi[m] = 4 7
n = 20, m = 9, phi[n] = 8, phi[m] = 6 7
n = 20, m = 10, phi[n] = 8, phi[m] = 4 6
n = 20, m = 11, phi[n] = 8, phi[m] = 10 6
n = 20, m = 12, phi[n] = 8, phi[m] = 4 7
n = 20, m = 13, phi[n] = 8, phi[m] = 12 7
n = 20, m = 14, phi[n] = 8, phi[m] = 6 7
n = 20, m = 15, phi[n] = 8, phi[m] = 8 7
n = 20, m = 16, phi[n] = 8, phi[m] = 8 6
n = 20, m = 17, phi[n] = 8, phi[m] = 16 6
n = 20, m = 18, phi[n] = 8, phi[m] = 6 7
n = 20, m = 19, phi[n] = 8, phi[m] = 18 7
n = 20, m = 20, phi[n] = 8, phi[m] = 8 7
